,number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_boosting_type,params_depth,params_grow_policy,params_iterations,params_l2_leaf_reg,params_learning_rate,params_max_bin,params_random_strength,state
92,92,0.2984753980165493,2023-06-10 16:11:51.814560,2023-06-10 16:11:55.516449,0 days 00:00:03.701889,0.030040288869679098,,7,Lossguide,940,59.091063443882874,0.004745452009723527,32,88,COMPLETE
93,93,0.30208071843839396,2023-06-10 16:11:55.517182,2023-06-10 16:11:58.130293,0 days 00:00:02.613111,0.02979316629093813,,7,Lossguide,833,27.988987002495275,0.005056344927743031,32,93,COMPLETE
94,94,0.2984788813660478,2023-06-10 16:11:58.131079,2023-06-10 16:12:01.622755,0 days 00:00:03.491676,0.03859591427920573,,8,Lossguide,882,93.23868652311502,0.006364573882142626,32,89,COMPLETE
95,95,0.30021855023790817,2023-06-10 16:12:01.623641,2023-06-10 16:12:05.056114,0 days 00:00:03.432473,0.05856394769203567,,8,Lossguide,796,89.39894059955995,0.00659038496707471,32,88,COMPLETE
96,96,0.3062213636844693,2023-06-10 16:12:05.056957,2023-06-10 16:12:06.902056,0 days 00:00:01.845099,0.040076098202612466,,8,Lossguide,887,20.757313998313517,0.0077621576490096555,32,84,COMPLETE
97,97,0.3432746178141912,2023-06-10 16:12:06.902694,2023-06-10 16:12:08.432930,0 days 00:00:01.530236,0.049961294467836356,,6,Lossguide,848,4.072172413981799,0.0048282631746522035,32,81,COMPLETE
98,98,0.2980400104931914,2023-06-10 16:12:08.433567,2023-06-10 16:12:10.537582,0 days 00:00:02.104015,0.0291010178465219,,7,Lossguide,914,37.968909355441916,0.009076949117399378,32,97,COMPLETE
99,99,0.3631561650305009,2023-06-10 16:12:10.538232,2023-06-10 16:12:13.402015,0 days 00:00:02.863783,0.03684551409079155,Plain,7,SymmetricTree,913,10.257822524878222,0.00924767769754473,32,97,COMPLETE
100,100,0.3098443920758207,2023-06-10 16:12:13.402683,2023-06-10 16:12:15.494580,0 days 00:00:02.091897,0.024600506907466686,,8,Lossguide,876,19.44448725042393,0.006547622386345239,32,93,COMPLETE
101,101,0.3018975447846405,2023-06-10 16:12:15.495213,2023-06-10 16:12:18.189500,0 days 00:00:02.694287,0.030514765522680103,,7,Lossguide,847,41.85746980821374,0.006014054460229526,32,88,COMPLETE
102,102,0.29521409758092,2023-06-10 16:12:18.190198,2023-06-10 16:12:20.855758,0 days 00:00:02.665560,0.02822424725725564,,7,Lossguide,800,66.19352461816639,0.007303860539378793,32,98,COMPLETE
103,103,0.2956230471655466,2023-06-10 16:12:20.856511,2023-06-10 16:12:23.775717,0 days 00:00:02.919206,0.043651326298118236,,7,Lossguide,812,74.82427949777981,0.007512595903292357,32,98,COMPLETE
104,104,0.29766050088076734,2023-06-10 16:12:23.776424,2023-06-10 16:12:26.784034,0 days 00:00:03.007610,0.05613987897177135,,7,Lossguide,805,96.31822439310987,0.007181374590673307,32,98,COMPLETE
105,105,0.30237255072496516,2023-06-10 16:12:26.784757,2023-06-10 16:12:29.004833,0 days 00:00:02.220076,0.04577745312568707,,7,Lossguide,768,32.996715749687944,0.007371835868816872,32,98,COMPLETE
106,106,0.31800146449486477,2023-06-10 16:12:29.005483,2023-06-10 16:12:30.261988,0 days 00:00:01.256505,0.061285563787799556,,6,Depthwise,753,13.262153390291012,0.00898923858569225,32,95,COMPLETE
107,107,0.3295007449751489,2023-06-10 16:12:30.262654,2023-06-10 16:12:32.708749,0 days 00:00:02.446095,0.04930658346259276,,7,Lossguide,714,96.91395814214663,0.010264857070910492,10,99,COMPLETE
108,108,0.3257371102790253,2023-06-10 16:12:32.709497,2023-06-10 16:12:34.201461,0 days 00:00:01.491964,0.024549229386742796,,7,Lossguide,808,29.742767270220696,0.011978595456557104,20,94,COMPLETE
109,109,0.3275634776408548,2023-06-10 16:12:34.202207,2023-06-10 16:12:35.617232,0 days 00:00:01.415025,0.012724734387493017,,7,Lossguide,734,7.363079473422042,0.008539549412441434,32,97,COMPLETE
110,110,0.29866669502710974,2023-06-10 16:12:35.618058,2023-06-10 16:12:38.241564,0 days 00:00:02.623506,0.06706689082130685,,7,Lossguide,684,64.87399781273841,0.007697116227091353,32,84,COMPLETE
