,number,value,datetime_start,datetime_complete,duration,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_bin,params_min_child_samples,params_min_sum_hessian_in_leaf,params_n_estimators,params_num_leaves,state
38,38,0.2709763747664302,2023-06-10 17:46:59.131437,2023-06-10 17:46:59.228365,0 days 00:00:00.096928,6,0.8309314084266628,8.048603035383273e-08,2.5772606123132606e-08,0.2979545596025337,103,26,0.03714881095630158,591,165,COMPLETE
185,185,0.27119548917586633,2023-06-10 17:47:10.299363,2023-06-10 17:47:10.419761,0 days 00:00:00.120398,4,0.7293592681685035,2.267550903911955e-05,5.108713698767042e-07,0.21998899963102697,181,13,0.04363189804132766,686,145,COMPLETE
731,731,0.27126748261712563,2023-06-10 17:48:03.084430,2023-06-10 17:48:03.241192,0 days 00:00:00.156762,7,0.9252541497679353,9.929900801529148e-06,0.0007579806372974283,0.2603961258876604,119,14,0.09986802555232709,601,98,COMPLETE
1276,1276,0.2715613541586878,2023-06-10 17:49:20.095599,2023-06-10 17:49:20.289224,0 days 00:00:00.193625,4,0.7982513146089316,0.043237403788540275,0.10154114850012955,0.22964127005377805,67,15,0.014105476706328918,569,130,COMPLETE
322,322,0.2717515574876115,2023-06-10 17:47:21.280987,2023-06-10 17:47:21.403903,0 days 00:00:00.122916,3,0.7223629273916288,0.009155145023390768,2.623209440856968,0.2964108858404164,178,12,0.04425221248217753,618,103,COMPLETE
14,14,0.27181976741123326,2023-06-10 17:46:57.152213,2023-06-10 17:46:57.336783,0 days 00:00:00.184570,2,0.601953348490879,1.1631618082172406e-05,5.913116342329947e-06,0.0829780195026615,112,32,0.02724007384575344,811,134,COMPLETE
130,130,0.27192365056763124,2023-06-10 17:47:06.181956,2023-06-10 17:47:06.299759,0 days 00:00:00.117803,3,0.7739511400130726,6.86111040084175e-05,1.8451966603764554e-06,0.19598453644315228,168,14,0.03967020232366785,641,131,COMPLETE
1286,1286,0.2726441419341458,2023-06-10 17:49:21.774392,2023-06-10 17:49:22.002690,0 days 00:00:00.228298,3,0.7506930433386931,4.2794227025904295e-08,1.9772210035640247e-07,0.2214802845016117,93,17,0.027519197188578974,595,215,COMPLETE
3787,3787,0.27273221472902587,2023-06-10 18:02:13.635121,2023-06-10 18:02:14.156991,0 days 00:00:00.521870,1,0.9308842103464807,7.6319964311534e-08,0.050806657601575815,0.29979537598475825,32,14,0.04344128306307652,644,133,COMPLETE
220,220,0.2727499868228357,2023-06-10 17:47:13.141071,2023-06-10 17:47:13.255120,0 days 00:00:00.114049,4,0.7217403463166878,9.118293890741028e-06,7.968399293217623e-07,0.2704689238492921,154,10,0.028669794367610888,597,156,COMPLETE
